2018-03-07 16:08:29,368 | INFO | DefaultShutdownStrategy.java 172 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-03-07 16:08:29,372 | INFO | DefaultShutdownStrategy.java 612 | Route: route1 shutdown complete, was consuming from: Endpoint[file://data/input]
2018-03-07 16:08:29,372 | INFO | DefaultShutdownStrategy.java 225 | Graceful shutdown of 1 routes completed in 0 seconds
2018-03-07 16:08:29,375 | INFO | DefaultCamelContext.java 2030 | Apache Camel 2.14.1 (CamelContext: camel-1) uptime 5.338 seconds
2018-03-07 16:08:29,376 | INFO | DefaultCamelContext.java 2031 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutdown in 0.044 seconds
2018-03-07 16:09:21,212 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 16:09:21,215 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 16:09:21,365 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 16:09:21,437 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 16:09:21,437 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 16:09:21,481 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input]
2018-03-07 16:09:21,481 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 16:09:21,484 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.270 seconds
2018-03-07 16:09:26,486 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
2018-03-07 16:09:26,487 | INFO | DefaultShutdownStrategy.java 172 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-03-07 16:09:26,495 | INFO | DefaultShutdownStrategy.java 612 | Route: route1 shutdown complete, was consuming from: Endpoint[file://data/input]
2018-03-07 16:09:26,495 | INFO | DefaultShutdownStrategy.java 225 | Graceful shutdown of 1 routes completed in 0 seconds
2018-03-07 16:09:26,500 | INFO | DefaultCamelContext.java 2030 | Apache Camel 2.14.1 (CamelContext: camel-1) uptime 5.288 seconds
2018-03-07 16:09:26,500 | INFO | DefaultCamelContext.java 2031 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutdown in 0.013 seconds
2018-03-07 16:13:35,513 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 16:13:35,516 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 16:13:35,698 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 16:13:35,793 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 16:13:35,793 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 16:13:35,798 | INFO | FileEndpoint.java 85 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-03-07 16:13:35,798 | INFO | FileEndpoint.java 91 | Using default memory based idempotent repository with cache max size: 1000
2018-03-07 16:13:35,841 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input?noop=true]
2018-03-07 16:13:35,841 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 16:13:35,843 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.331 seconds
2018-03-07 16:13:36,863 | INFO | StaxConverter.java 338 | Created XMLInputFactory: com.sun.xml.internal.stream.XMLInputFactoryImpl@d4630b9. DOMSource/DOMResult may have issues with com.sun.xml.internal.stream.XMLInputFactoryImpl@d4630b9. We suggest using Woodstox.
2018-03-07 16:13:40,846 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
2018-03-07 16:13:40,847 | INFO | DefaultShutdownStrategy.java 172 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-03-07 16:13:40,850 | INFO | DefaultShutdownStrategy.java 612 | Route: route1 shutdown complete, was consuming from: Endpoint[file://data/input?noop=true]
2018-03-07 16:13:40,850 | INFO | DefaultShutdownStrategy.java 225 | Graceful shutdown of 1 routes completed in 0 seconds
2018-03-07 16:13:40,854 | INFO | DefaultCamelContext.java 2030 | Apache Camel 2.14.1 (CamelContext: camel-1) uptime 5.344 seconds
2018-03-07 16:13:40,855 | INFO | DefaultCamelContext.java 2031 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutdown in 0.008 seconds
2018-03-07 16:14:40,126 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 16:14:40,128 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 16:14:40,277 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 16:14:40,353 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 16:14:40,353 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 16:14:40,356 | INFO | FileEndpoint.java 85 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-03-07 16:14:40,356 | INFO | FileEndpoint.java 91 | Using default memory based idempotent repository with cache max size: 1000
2018-03-07 16:14:40,398 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input?noop=true]
2018-03-07 16:14:40,398 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 16:14:40,400 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.274 seconds
2018-03-07 16:14:45,406 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
2018-03-07 16:14:45,407 | INFO | DefaultShutdownStrategy.java 172 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-03-07 16:14:45,411 | INFO | DefaultShutdownStrategy.java 612 | Route: route1 shutdown complete, was consuming from: Endpoint[file://data/input?noop=true]
2018-03-07 16:14:45,412 | INFO | DefaultShutdownStrategy.java 225 | Graceful shutdown of 1 routes completed in 0 seconds
2018-03-07 16:14:45,417 | INFO | DefaultCamelContext.java 2030 | Apache Camel 2.14.1 (CamelContext: camel-1) uptime 5.293 seconds
2018-03-07 16:14:45,417 | INFO | DefaultCamelContext.java 2031 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutdown in 0.011 seconds
2018-03-07 16:15:26,082 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 16:15:26,084 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 16:15:26,239 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 16:15:26,317 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 16:15:26,317 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 16:15:26,320 | INFO | FileEndpoint.java 85 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-03-07 16:15:26,320 | INFO | FileEndpoint.java 91 | Using default memory based idempotent repository with cache max size: 1000
2018-03-07 16:15:26,360 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input?noop=true]
2018-03-07 16:15:26,360 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 16:15:26,363 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.280 seconds
2018-03-07 16:15:31,365 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
2018-03-07 16:15:31,367 | INFO | DefaultShutdownStrategy.java 172 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-03-07 16:15:31,371 | INFO | DefaultShutdownStrategy.java 612 | Route: route1 shutdown complete, was consuming from: Endpoint[file://data/input?noop=true]
2018-03-07 16:15:31,371 | INFO | DefaultShutdownStrategy.java 225 | Graceful shutdown of 1 routes completed in 0 seconds
2018-03-07 16:15:31,376 | INFO | DefaultCamelContext.java 2030 | Apache Camel 2.14.1 (CamelContext: camel-1) uptime 5.296 seconds
2018-03-07 16:15:31,376 | INFO | DefaultCamelContext.java 2031 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutdown in 0.011 seconds
2018-03-07 16:17:42,891 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 16:17:42,894 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 16:17:43,088 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 16:17:43,176 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 16:17:43,177 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 16:17:43,181 | INFO | FileEndpoint.java 85 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-03-07 16:17:43,181 | INFO | FileEndpoint.java 91 | Using default memory based idempotent repository with cache max size: 1000
2018-03-07 16:17:43,231 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input?noop=true]
2018-03-07 16:17:43,232 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 16:17:43,234 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.343 seconds
2018-03-07 16:17:48,235 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
2018-03-07 16:17:48,236 | INFO | DefaultShutdownStrategy.java 172 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-03-07 16:17:48,241 | INFO | DefaultShutdownStrategy.java 612 | Route: route1 shutdown complete, was consuming from: Endpoint[file://data/input?noop=true]
2018-03-07 16:17:48,241 | INFO | DefaultShutdownStrategy.java 225 | Graceful shutdown of 1 routes completed in 0 seconds
2018-03-07 16:17:48,247 | INFO | DefaultCamelContext.java 2030 | Apache Camel 2.14.1 (CamelContext: camel-1) uptime 5.359 seconds
2018-03-07 16:17:48,247 | INFO | DefaultCamelContext.java 2031 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutdown in 0.012 seconds
2018-03-07 23:21:11,767 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 23:21:11,770 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 23:21:11,948 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 23:21:12,038 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 23:21:12,038 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 23:21:12,041 | INFO | FileEndpoint.java 85 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-03-07 23:21:12,041 | INFO | FileEndpoint.java 91 | Using default memory based idempotent repository with cache max size: 1000
2018-03-07 23:21:12,083 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input?noop=true]
2018-03-07 23:21:12,084 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 23:21:12,086 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.319 seconds
2018-03-07 23:21:17,088 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
2018-03-07 23:21:17,089 | INFO | DefaultShutdownStrategy.java 172 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-03-07 23:21:17,092 | INFO | DefaultShutdownStrategy.java 612 | Route: route1 shutdown complete, was consuming from: Endpoint[file://data/input?noop=true]
2018-03-07 23:21:17,092 | INFO | DefaultShutdownStrategy.java 225 | Graceful shutdown of 1 routes completed in 0 seconds
2018-03-07 23:21:17,096 | INFO | DefaultCamelContext.java 2030 | Apache Camel 2.14.1 (CamelContext: camel-1) uptime 5.331 seconds
2018-03-07 23:21:17,096 | INFO | DefaultCamelContext.java 2031 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutdown in 0.008 seconds
2018-03-07 23:48:04,903 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 23:48:04,906 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 23:48:05,058 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 23:48:05,134 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 23:48:05,134 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 23:48:05,137 | INFO | FileEndpoint.java 85 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-03-07 23:48:05,137 | INFO | FileEndpoint.java 91 | Using default memory based idempotent repository with cache max size: 1000
2018-03-07 23:48:05,180 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input?noop=true]
2018-03-07 23:48:05,181 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 23:48:05,183 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.279 seconds
2018-03-07 23:48:10,187 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
